layer,x,y,visual_label,behavior,parameter,modifiers,purpose,usage_notes,source
0,0,0,Esc,Key Press,Escape,,,,canonical (frozen/critical)
0,1,0,1,Key Press,1 and Bang,,,,canonical (frozen/critical)
0,2,0,2,Key Press,2 and At,,,,canonical (frozen/critical)
0,3,0,3,Key Press,3 and Hash,,,,canonical (frozen/critical)
0,4,0,4,Key Press,4 and Dollar,,,,canonical (frozen/critical)
0,5,0,5,Key Press,5 and Percent,,,,canonical (frozen/critical)
0,7,0,6,Key Press,6 and Caret,,,,canonical (frozen/critical)
0,8,0,7,Key Press,7 and Ampersand,,,,canonical (frozen/critical)
0,9,0,8,Key Press,8 and Star,,,,canonical (frozen/critical)
0,10,0,9,Key Press,9 and Left Bracket,,,,canonical (frozen/critical)
0,11,0,0,Key Press,0 and Right Bracket,,,,canonical (frozen/critical)
0,12,0,BkSp,Key Press,Delete,,,,canonical (frozen/critical)
0,0,1,Tab,Key Press,Tab,,,,canonical (frozen/critical)
0,1,1,Q,Key Press,Q,,,,canonical (frozen/critical)
0,2,1,W,Key Press,W,,,,canonical (frozen/critical)
0,3,1,E,Key Press,E,,,,canonical (frozen/critical)
0,4,1,R,Key Press,R,,,,canonical (frozen/critical)
0,5,1,T,Key Press,T,,,,canonical (frozen/critical)
0,7,1,Y,Key Press,Y,,,,canonical (frozen/critical)
0,8,1,U,Key Press,U,,,,canonical (frozen/critical)
0,9,1,I,Key Press,I,,,,canonical (frozen/critical)
0,10,1,O,Key Press,O,,,,canonical (frozen/critical)
0,11,1,P,Key Press,P,,,,canonical (frozen/critical)
0,12,1,å,Key Press,Left Brace,,,,canonical (frozen/critical)
0,0,2,Shft,Key Press,LeftShift,,,,canonical (frozen/critical)
0,1,2,A,Key Press,A,,,,canonical (frozen/critical)
0,2,2,S,Key Press,S,,,,canonical (frozen/critical)
0,3,2,D,Key Press,D,,,,canonical (frozen/critical)
0,4,2,F,Key Press,F,,,,canonical (frozen/critical)
0,5,2,G,Key Press,G,,,,canonical (frozen/critical)
0,7,2,H,Key Press,H,,,,canonical (frozen/critical)
0,8,2,J,Key Press,J,,,,canonical (frozen/critical)
0,9,2,K,Key Press,K,,,,canonical (frozen/critical)
0,10,2,L,Key Press,L,,,,canonical (frozen/critical)
0,11,2,ø,Key Press,SemiColon and Colon,,,,canonical (frozen/critical)
0,12,2,æ,Key Press,Left Apos and Double,,,,canonical (frozen/critical)
0,0,3,Ctrl,Key Press,LeftControl,,,,canonical (frozen/critical)
0,1,3,Z,Key Press,Z,,,,canonical (frozen/critical)
